sânscrito	Agni/Ayurveda
instrução	Ministerio_da_Educação/pedagogia/Educação/educação/ensino
heráldica	brasão/flor-de-lis
mercantilismo	traficar/tramitar/transacionar/intermediar/contrabandear/revender/empenhar/vender/licitar/leiloar/comprar/atingir/adquirir/importar/abastecer/estocar/armazenar/saldar/franquiar/privilegiar/comercializar
empresa	parte/privatizar/participante/empresas/indústria_cinematográfica/cinema/Chinês/cine/capitalista/cadeia/sagacidade/astúcia/administração/gestão
mitologia	difusão/Siegfried/Nibelungos/Brünnhild
patologia	benigno/maligno/indolente/excrescência/orgânico/verruga/Amilóide/bolha/funcional/específico/inespecífico/canceroso
Metalurgia	aviltar/rebaixar/opulento/rico
Terrorismo	Dhahran/Hizbollah/terrorista/Mujahidin/Exército_vermelho_japonês/Exército_Vermelho_Japonês/Euskadi_ta_askatasuna/Euskadi_Ta_Askatasuna/ETA/Abu_Sayyaf/Movimento_Revolucionário_Tupac_Amaru/GRAPO/Grapo/Associação_de_Defesa_do_Ulster/Associação_de_defesa_do_ulster/Frente_revolucionária_unida/Frente_Revolucionária_Unida/Hamas/Máfia/Frente_de_Libertação_Nacional_da_Córsega/Khmer_Vermelho/Khmer_vermelho/Partido_dos_trabalhadores_do_curdistão/Partido_dos_Trabalhadores_do_Curdistão/Ku_klux_klan/Ku_Klux_Klan/Brigadas_vermelhas/Brigadas_Vermelhas/World_trade_center/World_Trade_Center/Forças_Armadas_Revolucionárias_da_Colômbia/Forças_armadas_revolucionárias_da_colômbia/reino_do_terror/antiterrorismo/contra-terrorismo/Jihad_Islâmica
ensinamento	Ministerio_da_Educação/pedagogia/Educação/educação/ensino
histologia	Coloração
expedição	online
electrónica	pulsação/Ripple/analógico/transístor/tangência/dopar/rede/Modulação
Farmacologia	percutâneo/Tintura/tintura
barco	passageiro/Amarra/enfermagem/enfermaria
ser_humano	corpo_humano/corpo/cadáver
Medicina	apalpar/administrar/dispensar/remediar/vacinar/amputar/medicar/explorar/injetar/injectar/enfaixar/operar/sanar/sarar/curar/dopar/narcotizar/drogar/digitalizar
bicho	verruga/olfato/rastreio/rastreamento/gregário/social/pastar/desossar/crescido/maior/adulto/microorganismo/microrganismo/domar/domesticar/corpo_humano/corpo/cadáver/rede
lacrosse	meio-campo
Microbiologia	meticuloso/Prion
terraplenagem	berbequim/explorar/escavar/minar/minerar/retalhar
pugilismo	soco/ponche
Sagradas_Escrituras	promessa
justiça	prejudicar
