ser	ser/organismo
ano	tempo/etapa/período
governo	entidade_política/coisa_pública
presidente	presidente/chefe_de_estado/chefe_de_estado
partido	adulto/de_maior/organização
dia	dia/unidades_de_tempo/unidade_de_tempo
estado	divisão_territorial/divisão_administrativa/distrito_administrativo/condição/situação/estado/condição/situação/estado/condição/situação/estado
rio	corrente/córrego
deputado	legislador
político	chefe/líder
comissão	encargo/remuneração/custo/taxa/estipêndio/unidade_administrativa/órgão_público/organização
câmara	equipamento_fotográfico
cargo	ofício/trabalho/serviço/emprego/função/lugar/profissão/ocupação
eleição	decisão/tomada_de_decisão/votação/selecção/seleção/escolha
legenda	organização/título
março	mês_no_calendário_gregoriano/mês_no_calendário_gregoriano
presidência	titularidade/legislatura/cargo/posição/posto
filho	descendente/descendência/filho/parente
república	regimes_políticos/regimes_políticos
segundo	instante/minuto/segundo/momento/unidades_de_tempo/unidade_de_tempo/posição/hierarquia/classe/posto
membro	associado/membro
ministro	executivo/diretor_executivo/sacerdote/pastor/pároco/clérigo
candidato	político/indivíduo/pessoa/alguém/ser_humano/alma
voto	selecção/seleção/escolha
pleito	procedimento_legal/procedimento_legal
mês	tempo/etapa/período
poder	causa/causador
público	reunião/grupo/comunidade
movimento	grupos_sociais
governador	político
projeto	pensamento/idéia/conceito/opinião/trabalho/tarefa
general	brigadeiro/almirante/general/general-de-exército
política	relação_social
empresa	comércio/mercantilismo/comercialismo
reforma	melhoria/melhoramento
trabalho	oficina/laboratório/emprego/locais_de_trabalho/trabalho/ofício/trabalho/serviço/emprego/função/lugar/profissão/ocupação/trabalho/tarefa/atividade/ocupação
apoio	equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento/auxílio/socorro/ajuda/assistência
fim	ocorrente/acontecimento/ocorrência/meta/alvo/intenção/objectivo/fenômeno/fenómeno
direito	título/justiça/justeza
campanha	corrida/manobra/operação/empreendimento_de_risco
assembléia	assembléia_legislativa/legislatura/poder_legislativo/ação_em_grupo
setor	faceta
curso	fronteira/reunião/pedagogia/ensino/formação/educação/didáctica/ensinamento/instrução/acção/ação/atividade/ato
função	utilidade/atividade/ocupação/atividade/ocupação
candidatura	apelo/solicitação/petição/abaixo-assinado/requisição/requerimento/postulação
período	intervalo_de_tempo/tempo/intervalo/idade/tempo/período/escala_de_tempo_geológico/era/época/século/tempo/etapa/período/tempo/etapa/período/tempo/etapa/período
capital	moeda/dinheiro/divisa/activos/recursos/ativo/ativos/bens
jornal	jornal/periódico/publicação_periódica/revista/jornal/imprensa/jornalismo
regime	entidade_política/coisa_pública
grupo	aglomeração/aglomeração/acúmulo/aglomeração/colecção/coleção/acúmulo/aglomeração/colecção/coleção
oposição	chapa/partido_político/partido/legenda/acção/ação/atividade/ato
cidade	municipalidade/município
processo	procedimento_legal/procedimento_legal/procedimento_legal/procedimento_legal/procedimento_legal/procedimento_legal/ação_legal/processo_judicial/processo/causa/atividade/ocupação
início	momento/instante
chefe	orientador/supervisor/chefe/líder/indivíduo/pessoa/alguém/ser_humano/alma
escola	estabelecimentos_de_ensino/estabelecimentos_de_ensino/edifício/prédio
parlamentar	legislador
emenda	afirmação/declaração
legislatura	assembléia/assembleia
diretor	gerente/administrador
congresso	assembléia_legislativa/legislatura/poder_legislativo
favor	gentileza/delicadeza/amabilidade/bondade
criação	atividade/ocupação/objeto_natural/objeto_natural
força	poder/intensidade/propriedade/atributo/agressão/hostilidade/causa/causador
nome	fama/renome/reputação/honra/substantivo/unidade_da_linguagem/unidade_linguística
atividade	peculiaridade/feição
distrito	regiões/região/municipalidade/município
líder	chefe/líder/indivíduo/pessoa/alguém/ser_humano/alma
conselho	comité/comissão/junta/comitê/unidade_administrativa/órgão_público/proposta/mensagem/assunto/tópico/conteúdo
prefeito	autoridade_civil/político
final	ocorrente/acontecimento/ocorrência
banco	assento/cadeira/assento/cadeira
parte	parte/porção/divisão/repartição/conexão/relação
programa	comunicação/anúncio/aviso/informação/espectáculo/show/pacote_de_software/software/programa/lista/listagem/lista_numerada/código/pensamento/idéia/conceito/opinião
instituto	estabelecimentos_de_ensino/estabelecimentos_de_ensino/organização
secretário	servidor/criado/assistente/ajudante
ação	ação/fundo_de_maneio/argumento/enredo/acontecimento/fato/evento
órgão	anatomia/parte_do_corpo/instrumento_de_sopro/instrumentos_com_teclas/instrumento_de_teclas
faculdade	estabelecimentos_de_ensino
ocasião	ocorrente/acontecimento/ocorrência
cadeira	região_de_espaço/assento/cadeira/assento/cadeira/mobiliário/alfaia/movéis/móvel/mobília/cargo/posição/posto
lei	acúmulo/aglomeração/colecção/coleção/concepção/idéia/conceito/ideia
medida	grandeza/número/magnitude/manobra
votação	selecção/seleção/escolha
administração	controle_social
costa	orla/litoral/costa/formação/formação_geológica
tribunal	assembléia/assembleia
aliança	joalheria/jóia/joalharia
sistema	grupo/agrupação/conjunto
constituição	lei/leis/actos_legislativos/propriedade/atributo
relação	relação/ligação/conexão/relação/conexão/relação/condição/situação/estado
comando	atos_da_fala/acto_de_fala
base	flanco/fundo/parte_de_baixo/parte_inferior/suposição/pressuposição/hipótese/suporte/encosto/apoio/escritório
acordo	consenso/acordo/acordo/paz/harmonia/concórdia/conformidade
organização	organização/grupos_sociais/grupo/agrupação/conjunto
dever	controle_social/trabalho/tarefa
tempo	tacto/tempo/etapa/período/tempo/etapa/período/fenômeno_meteorológico/tempo/condições_meteorológicas/clima/fenômeno_atmosférico
união	união/organização
ato	documento_oficial/negócio_jurídico/acontecimento/fato/evento
recurso	apelo/solicitação/petição/abaixo-assinado/requisição/requerimento/postulação/bem/recurso/virtude/vantagem/propriedade/qualidade
exército	serviço_militar/serviço_militar
proposta	proposta
arena	área/região/território/ambiente/estrutura/tecido/edifício
universidade	grupo/comunidade
justiça	justiça/justeza/justiça/honestidade
objetivo	meta/alvo/intenção/objectivo/meta/alvo/intenção/objectivo
frente	liderança
crise	ataque
vida	existência/ser/existência/forma_de_vida
área	lugar/extensão/alcance
reunião	convergência/assembléia/reunião/ação_em_grupo
indústria	industria/comércio/negócio/empresa
guerra	luta/conflito
estudo	documento/documentação
representante	representante/negociador/legislador/agente/proponente/representante/advogado/defensor/informação/conhecimento/indivíduo/pessoa/alguém/ser_humano/alma
serviço	auxílio/socorro/ajuda/assistência/cerimônia_religiosa/cerimônia_religiosa/obrigação/dever/atividade/ocupação/condição/situação/estado
gestão	controle_social
lima	ferramenta
imprensa	maquinaria/máquina
posição	classe/condição/posição/status/estado/opinião/orientação/atitude/posição/colocação/localização/ofício/trabalho/serviço/emprego/função/lugar/profissão/ocupação/condição/situação/estado
professor	educador/educacionista/pedagogo/professor/acadêmico/professor_universitário
comércio	transação/transação/comércio/mercantilismo/comercialismo
economia	organização/sistema/ciências_sociais/ciências_sociais/frugalidade
campos	gleba/terreno/região
caso	ocorrente/acontecimento/ocorrência/indivíduo/pessoa/alguém/ser_humano/alma
lado	superfície/opinião
vitória	vitória/final/conclusão/resultado/fim/chegada/ocorrente/acontecimento/ocorrência
