acrobata	trupe
antílope	manada
abelha	enxame/colmeia/colónia/deriva/enxameamento/ninho/ruído/suporte
pássaro	bando
livro	biblioteca/prateleira/colecção/contabilidade/sistema_contailístico/método_contabilístico
bezerro	gado/manada
carro	vagão/carro_andor
gato	gataria/vistoso/grupo_de_gatos/ataque_súbito
gado	manada
cristão	congregação/igreja/paróquia
cidadão	cidadania/país/estado
faculdade	universidade
condado	estado/país
vaca	manada
corvo	bando
divisão	companhia/empresa/pelotão/grupo_de_combate
elefante	manada
empregado	pessoal/companhia
peixe	cardume
flor	ramalhete
galáxia	universo
ganso	bando
jurado	júri
gatinho	ninhada
letra	alfabeto/abecedário
leão	alcateia
ouvinte	audiência
membro	clube/equipa/grupo/bando/comunidade
músico	orquestra/banda/grupo
nómada	horda
página	livro/bloco_de_notas/sítio_web
paroquiano	paróquia/igreja
pessoa	sociedade/companhia/grupo/mundo
fotografia	álbum/colecção/fototeca
jogador	equipa/grupo/orquestra
agente	polícia
secretário	assessoria
senador	senado/câmara
ovelha	rebanho
arbusto	plantação
cantor	coro/banda/duo/trio/quarteto/quinteto/sexteto
soldado	exército/unidade/divisão/tropa
canção	álbum/colecção/antologia/fonoteca
conjuge	casal/relacionamento/família
estrela	constelação/galáxia
estado	país/pronvíncia
estudante	turma/escola
árvore	floresta/bosque
lobo	alcateia
palavra	parágrafo/frase/texto/oração
