meloeiro	(fruta)
Tubo_de_Kundt	(Instrumento_de_medida metro instrumentos_de_medição
               Instrumentos_de_medida)
marshmallow	(candil caramelo bala)
loggia	(Arcada)
Chelicerata	(espécies classe)
tefilin	(lembrete)
bis	(apresentação interpretação)
silicato	(sal sais)
moldura	(estrutura infra)
Veia_pulmonar	(Veias veia)
doador_de_órgãos	(doador)
Teclistas	(tocador instrumentista instrumentalista músico)
sifonar	(sacar colocar botar carregar pôr tirar extrair)
guitarreiro	(tocador instrumentista instrumentalista músico)
brinquedo	(produto utensílio artefato)
interface_serial	(porta)
Camelo_Bactriano	(camelo Camelus)
polinizador	(insecto insetos hemípteros inseto Insectos)
nível	(indicadores classe hierarquia posição posto condição estado situação)
laranja	(citrino pigmento Pigmentos)
prega	(dobra)
Voto_de_minerva	(eleição votação voto)
paredes	(objeto_físico edifício tecido estrutura objeto)
Judaismo	(igreja religião igrejas)
Baseado	(cigarro)
rosquear	(estreitar apertar)
astronomia	(Fisica ciências_físicas Física física)
areia	(Solo solo terra)
economia	(frugalidade ação eficiência ciências_sociais Ciências_Sociais ato
          atividade sistema organização)
monte	(montão colecção ruma chusma coleção grupo acúmulo aglomeração elevação
       massa Massa)
relatar	(narrar informar anunciar recontar contar mostrar)
frustrar	(proibir impossibilitar impedir estorvar evitar obstar)
vacinar	(injetar injectar)
síndico	(intermediário Broker corretor)
caldo_de_galinha	(sopa)
no_tempo	(tacto)
Projecção_de_mercator	(Projeção_Cartográfica projeção_cartográfica)
mudar_de_nome	(nomear denominar chamar)
campo_de_batalha	(terreno região extensão)
dispensar_	(entregar dar)
nevão	(intempérie trovoadas tempestades tempestade tormenta vendaval borrasca)
fada_dos_dentes	(fada Fadas)
cabine_de_pilotagem	(compartimento)
homogenização	(mistura)
pagaia	(remo pá)
processo_Solvay	(processos_industriais)
Teredo_navalis	(Ameijoa Amêijoa)
agência_governamental	(corpos_administrativos)
raio_X	(radiação_eletromagnética radiação_ionizante radiação_electromagnética
        onda_eletromagnética chapa_de_radiografia radiografia)
Nazistas	(facista fascista)
desinteressar	(fatigar)
albricoque	(pomares Árvore_frutífera)
Navegação_astronômica	(navegação pilotagem)
extirpar	(destruir remover deslocar mover retirar tirar)
crosta_terrestre	(estrato camada)
escaravelho	(insecto rola-bosta insetos hemípteros inseto Insectos)
pronunciamento	(declaração asserção)
Aromaterapia	(terapia Terapias)
azurita	(malaquita)
shiitake	(fungos fungo)
cantarolar	(cantar)
Madeiras	(Instrumentos_de_sopro instrumento_de_sopro)
tamarisco	(arbustos arbusto moita mato arvoreta)
coven	(assembléia assembleia)
divergência	(série separação)
ogro	(gigante)
poder_nuclear	(energia_nuclear)
brandy	(álcool bebida_alcoólica)
desgosto	(mágoa dor pesar tristeza)
marca_registrada	(marcadores selo marca)
ópera	(Música_Erudita casa teatro Música_Clássica)
igualitarismo	(filosofia doutrina doutrina_(direito))
Disforia	(discontentamento)
Maisena	(carbohidrato amido fécula)
acento_agudo	(acento sotaque)
creatina	(aminoácido Aminoácidos aminoácidos Amino-ácido)
Hereford	(bovinos_para_abate)
encomendar	(causar dar provocar solicitar requisitar requerer pedir)
intervenção	(participação Política_Externa interrupção política_externa pausa)
salamandra-de-fogo	(salamandras Anfíbios_caudados salamandra caudados)
Truta_arco_íris	(truta)
Blastomicose	(micose Micoses)
arquivar	(registrar coletar registar reunir recolher colecionar)
vampirismo	(ação ato atividade)
limitar	(deter entravar moderar conter serenar coibir refrear controlar
         restringir reduzir diminuir)
Bufo_viridis	(sapo)
Calcinação	(oxidação)
Logótipo	(marca Marca_Registrada marca_registrada)
quando	(tempo época período momento era)
Volta_Fiel	(Nó nodo Nós nó)
traduzir	(parafrasear entender alterar mudar modificar redizer reapresentar
          repetir reiterar comprender compreender)
arboricultura	(pecuária cultivo agricultura)
acompanhador	(tocador instrumentista instrumentalista músico)
colmeal	(celeiro)
frota	(montão colecção ruma chusma coleção grupo acúmulo aglomeração)
açoitar	(bater acertar golpear surrar)
harpa_eólica	(harpa)
colunata	(edifício tecido estrutura)
Lego	(Brinquedos brinquedo)
acampar	(povoar viver morar habitar)
embarcar-se	(embarcar)
gema_de_ovo	(nutriente produtos_alimentares ingrediente comida alimento)
brutalidade	(crueldade)
vídeo_game	(passatempo hobby)
gadget	(ferramenta aparelho aparato mecanismo instrumento dispositivo
        equipamento)
ausentar	(sumir desaparecer)
spoiler	(aerofólio)
amêixoa	(fruta Drupa)
corrente	(eletricidade ligamento ação electricidade fluxo córrego ato atividade)
Sadhu	(hindu)
Wanderlust	(impulso)
Triazolam	(benzodiazepina Benzodiazepinas)
monografia	(tratado)
Divisão_celular	(processos_biológicos)
sofisticação	(atributos qualidade)
Liga_árabe	(Organização_internacional Organizações_internacionais)
Tetrodotoxina	(Neurotoxina neurotoxina)
pé-de-cabra	(Pé_de_cabra barra alavanca)
epidídimo	(canal)
prisão_domiciliar	(confinamento)
Amostra_aleatória	(Base_de_sondagem)
Tanchagem	(plantago)
estrangulador	(assassino matador)
ataraxia	(serenidade)
Fogo_de_Santelmo	(arco_elétrico)
manómetro	(manômetro)
possuidor	(alma indivíduo ser_humano alguém pessoa)
cardiomiopatia	(cardiopatia Cardiopatia doenças_cardiovasculares)
Thaliacea	(espécies classe)
entregador	(assalariado empregado operário)
demora	(fazerumapausa interrupção suspensão pausa)
relógio_de_ponto	(pulso_de_disparo relógio Relógios)
malho	(martelo)
fazer_adubo	(converter transformar transmudar)
olhada	(olhar percepção)
desencorajar-se	(desesperar)
Joá-de-capote	(erva maconha)
teleférico	(veículo meios_de_transporte modo_de_transporte)
paleontólogo	(cientista)
recessão	(retirada cessão crise)
Metodologia	(método métodos metodo Método técnica)
devanágari	(escrita silabário Silabários)
cheesecake	(Bolos bolo)
Co-fator	(composto_químico Compostos_químicos substância_química
          Composto_químico)
rechecar	(verificar assegurar)
lingerie	(roupa_íntima roupa_interior roupa_de_baixo)
