fantástico fantasticamente
aparente aparentemente
calmo calmamente
alegre alegremente
completo completamente
eficiente eficientemente
afortunado afortunadamente
livre livremente
furioso furiosamente
alegre alegremente
imediato imediatamente
infrequente infrequentemente
sortudo felizmente
óbvio obviamente
ocasional ocasionalmente
possível possivelmente
preciso precisamente
profissional profissionalmente
rápido rapidamente
silencioso silenciosamente
rápido rapidamente
raro raramente
relutante relutantemente
seguro seguramente
sério seriamente
lento lentamente
repentino repentinamente
veloz/rápido rapidamente
típico tipicamente
infeliz infelizmente
usual usualmente
